trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
3574,False,"{'a': 0.9, 'e': 0.02799335293333855}",25,13,25.365234280229437,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3575,False,"{'a': 0.9, 'e': 0.027965359580405212}",20,13,7.303966021142148,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
3576,False,"{'a': 0.9, 'e': 0.027937394220824807}",25,11,27.68865156301139,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3577,False,"{'a': 0.9, 'e': 0.027909456826603982}",20,11,16.76691256464073,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3578,False,"{'a': 0.9, 'e': 0.02788154736977738}",25,16,18.283907947813546,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3579,False,"{'a': 0.9, 'e': 0.0278536658224076}",20,6,25.54616984925433,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3580,False,"{'a': 0.9, 'e': 0.027825812156585195}",20,11,19.59186790340836,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3581,False,"{'a': 0.9, 'e': 0.027797986344428607}",25,12,26.23964306302062,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3582,False,"{'a': 0.9, 'e': 0.027770188358084178}",35,22,23.897247625859162,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3583,False,"{'a': 0.9, 'e': 0.027742418169726096}",30,16,28.094091212665262,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3584,False,"{'a': 0.9, 'e': 0.02771467575155637}",25,11,13.31947467774894,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
3585,False,"{'a': 0.9, 'e': 0.027686961075804813}",25,12,25.251295085861674,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3586,False,"{'a': 0.9, 'e': 0.02765927411472901}",20,11,20.499088258850023,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3587,False,"{'a': 0.9, 'e': 0.02763161484061428}",25,12,24.13403835005759,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3588,False,"{'a': 0.9, 'e': 0.027603983225773666}",25,11,25.088401481469788,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3589,False,"{'a': 0.9, 'e': 0.02757637924254789}",25,3,44.502309567541324,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
3590,False,"{'a': 0.9, 'e': 0.02754880286330534}",30,12,36.02175987065301,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3591,False,"{'a': 0.9, 'e': 0.02752125406044204}",20,14,11.824259659591995,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3592,False,"{'a': 0.9, 'e': 0.027493732806381597}",30,13,34.89314275047017,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3593,False,"{'a': 0.9, 'e': 0.027466239073575215}",20,8,25.754607572001433,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3594,False,"{'a': 0.9, 'e': 0.027438772834501638}",20,9,23.406061030934488,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3595,False,"{'a': 0.9, 'e': 0.027411334061667136}",25,-4,48.13079715025865,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 0}",0
3596,False,"{'a': 0.9, 'e': 0.02738392272760547}",20,9,-7.787668839039997,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
3597,False,"{'a': 0.9, 'e': 0.027356538804877865}",35,15,40.712381960985105,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
3598,False,"{'a': 0.9, 'e': 0.027329182266072987}",20,16,7.92875041192984,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3599,False,"{'a': 0.9, 'e': 0.027301853083806914}",30,24,11.44535962361377,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3600,False,"{'a': 0.9, 'e': 0.027274551230723105}",20,9,21.832692107663874,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3601,False,"{'a': 0.9, 'e': 0.027247276679492383}",25,6,-19.44975863999445,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
3602,False,"{'a': 0.9, 'e': 0.02722002940281289}",25,12,28.537536706947684,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3603,False,"{'a': 0.9, 'e': 0.02719280937341008}",30,13,33.59992731184212,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3604,False,"{'a': 0.9, 'e': 0.027165616564036668}",35,16,41.72168997827457,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
